"p           ","t           ","phi         ","h           ","cp          ","M           ","C2H4        ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+01,   1.62410E+03,   4.00000E-01,   3.62008E+02,   1.31370E+00,   0.00000E+00,   0.00000E+00,   1.21431E-01,   7.58804E-01,   5.42961E-02,   5.46506E-02,   1.34903E-06,   8.93711E-05,   4.31655E-07,   1.59946E-03,   1.46305E-05
   1.00000E+01,   2.03510E+03,   6.00000E-01,   3.89659E+02,   1.44706E+00,   0.00000E+00,   3.06493E-34,   7.76697E-02,   7.46642E-01,   7.98156E-02,   8.05343E-02,   1.60884E-04,   1.07234E-03,   3.38665E-05,   4.98577E-03,   1.57458E-05
   1.00000E+01,   2.37728E+03,   8.00000E-01,   4.16601E+02,   1.76294E+00,   0.00000E+00,   6.68097E-28,   3.65060E-02,   7.33517E-01,   1.02906E-01,   1.02628E-01,   3.15137E-03,   3.94971E-03,   5.41251E-04,   7.37352E-03,   9.98379E-06
   1.00000E+01,   2.57947E+03,   9.90000E-01,   4.41562E+02,   2.39188E+00,   0.00000E+00,   1.25410E-23,   9.24716E-03,   7.17641E-01,   1.20905E-01,   1.08157E-01,   1.96688E-02,   5.73464E-03,   3.42920E-03,   5.27205E-03,   2.89532E-06
