"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   2.46212E+03,   4.00000E-01,   1.66438E+03,   2.17519E+00,   0.00000E+00,   8.13885E-21,   1.03805E-01,   7.08012E-01,   1.43662E-01,   2.67286E-04,   2.48893E-05,   1.42517E-02,   2.19768E-03,   1.43239E-02,   9.40342E-06
   1.00000E+01,   2.50910E+03,   4.00000E-01,   1.66438E+03,   1.85008E+00,   0.00000E+00,   1.89400E-20,   1.05019E-01,   7.09904E-01,   1.48283E-01,   2.82589E-04,   1.06423E-05,   9.45492E-03,   8.97827E-04,   1.56829E-02,   3.11581E-05
   4.00000E+01,   2.52608E+03,   4.00000E-01,   1.66438E+03,   1.74614E+00,   0.00000E+00,   2.54752E-20,   1.05567E-01,   7.10550E-01,   1.50136E-01,   2.87705E-04,   5.90448E-06,   7.09301E-03,   4.91663E-04,   1.62005E-02,   6.34210E-05
   1.00000E+00,   2.68345E+03,   6.00000E-01,   1.76725E+03,   3.25177E+00,   0.00000E+00,   8.71607E-19,   6.08587E-02,   6.71754E-01,   1.91689E-01,   2.02892E-04,   7.46967E-05,   2.74653E-02,   1.05632E-02,   1.54293E-02,   6.23557E-06
   1.00000E+01,   2.79408E+03,   6.00000E-01,   1.76725E+03,   2.45623E+00,   0.00000E+00,   4.98987E-18,   6.04059E-02,   6.76568E-01,   2.03640E-01,   2.35378E-04,   4.47341E-05,   2.11054E-02,   5.56938E-03,   1.81344E-02,   2.09928E-05
   4.00000E+01,   2.84076E+03,   6.00000E-01,   1.76725E+03,   2.17026E+00,   0.00000E+00,   1.00620E-17,   6.05392E-02,   6.78515E-01,   2.09206E-01,   2.52127E-04,   2.90436E-05,   1.69467E-02,   3.41503E-03,   1.93900E-02,   4.32766E-05
   1.00000E+00,   2.80969E+03,   8.00000E-01,   1.86895E+03,   4.62042E+00,   0.00000E+00,   1.54925E-17,   3.19335E-02,   6.36427E-01,   2.23244E-01,   1.39532E-04,   1.23142E-04,   3.48143E-02,   2.82042E-02,   1.30698E-02,   3.43452E-06
   1.00000E+01,   2.98130E+03,   8.00000E-01,   1.86895E+03,   3.35811E+00,   0.00000E+00,   2.15396E-16,   2.83148E-02,   6.44498E-01,   2.42832E-01,   1.68530E-04,   9.79398E-05,   2.93722E-02,   1.91667E-02,   1.54974E-02,   1.06384E-05
   4.00000E+01,   3.06740E+03,   8.00000E-01,   1.86895E+03,   2.82609E+00,   0.00000E+00,   7.72189E-16,   2.65694E-02,   6.48581E-01,   2.53878E-01,   1.90554E-04,   7.78318E-05,   2.50413E-02,   1.37581E-02,   1.66917E-02,   2.09131E-05
   1.00000E+00,   2.87227E+03,   1.00000E+00,   1.96950E+03,   5.77011E+00,   0.00000E+00,   1.09902E-16,   1.56371E-02,   6.02458E-01,   2.40942E-01,   9.44198E-05,   1.53686E-04,   3.51191E-02,   5.50206E-02,   9.68691E-03,   1.69491E-06
   1.00000E+01,   3.07845E+03,   1.00000E+00,   1.96950E+03,   4.23792E+00,   0.00000E+00,   3.06258E-15,   1.11361E-02,   6.12511E-01,   2.64052E-01,   1.09215E-04,   1.43193E-04,   2.97196E-02,   4.58015E-02,   1.06366E-02,   4.28209E-06
   4.00000E+01,   3.19235E+03,   1.00000E+00,   1.96950E+03,   3.56662E+00,   0.00000E+00,   2.03946E-14,   8.57619E-03,   6.18358E-01,   2.78561E-01,   1.21823E-04,   1.32978E-04,   2.52529E-02,   3.91160E-02,   1.06437E-02,   6.99189E-06
   1.00000E+00,   2.89359E+03,   1.20000E+00,   2.06892E+03,   6.22091E+00,   0.00000E+00,   4.58241E-16,   7.48800E-03,   5.70281E-01,   2.48384E-01,   6.58450E-05,   1.68506E-04,   3.11611E-02,   8.85915E-02,   6.70757E-03,   7.98922E-07
   1.00000E+01,   3.10552E+03,   1.20000E+00,   2.06892E+03,   4.44698E+00,   0.00000E+00,   1.96245E-14,   4.19058E-03,   5.80527E-01,   2.70295E-01,   7.13026E-05,   1.67205E-04,   2.48653E-02,   8.32772E-02,   6.55176E-03,   1.58937E-06
   4.00000E+01,   3.22057E+03,   1.20000E+00,   2.06892E+03,   3.65310E+00,   0.00000E+00,   1.93531E-13,   2.56242E-03,   5.86431E-01,   2.83692E-01,   7.56114E-05,   1.65164E-04,   1.98590E-02,   7.92014E-02,   5.83794E-03,   2.06054E-06
   1.00000E+00,   2.89006E+03,   1.40000E+00,   2.16722E+03,   6.13844E+00,   0.00000E+00,   1.36425E-15,   3.63597E-03,   5.40273E-01,   2.49013E-01,   4.79553E-05,   1.73692E-04,   2.58348E-02,   1.25837E-01,   4.52845E-03,   3.76866E-07
   1.00000E+01,   3.09310E+03,   1.40000E+00,   2.16722E+03,   4.26175E+00,   0.00000E+00,   7.35433E-14,   1.67426E-03,   5.49762E-01,   2.67693E-01,   4.94741E-05,   1.75938E-04,   1.91915E-02,   1.25468E-01,   3.97352E-03,   6.14267E-07
