"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   2.83809E+03,   4.00000E-01,   2.63375E+03,   3.26001E+00,   0.00000E+00,   1.44313E-17,   1.02609E-01,   7.23952E-01,   3.71025E-02,   3.41292E-02,   1.88924E-02,   2.03490E-02,   2.91291E-03,   2.59810E-02,   1.19618E-05
   1.00000E+01,   2.98502E+03,   4.00000E-01,   2.63375E+03,   2.50302E+00,   0.00000E+00,   1.25479E-16,   1.02267E-01,   7.29883E-01,   4.20595E-02,   4.09521E-02,   1.26956E-02,   1.69875E-02,   1.76907E-03,   3.14860E-02,   4.09679E-05
   4.00000E+01,   3.05567E+03,   4.00000E-01,   2.63375E+03,   2.17811E+00,   0.00000E+00,   3.40253E-16,   1.01769E-01,   7.32692E-01,   4.47350E-02,   4.49477E-02,   9.00360E-03,   1.43564E-02,   1.19259E-03,   3.42497E-02,   8.46504E-05
   1.00000E+00,   2.95220E+03,   6.00000E-01,   2.72005E+03,   4.14025E+00,   0.00000E+00,   2.32205E-16,   7.03466E-02,   6.98660E-01,   4.95460E-02,   3.74289E-02,   3.91505E-02,   2.77982E-02,   7.09773E-03,   2.45296E-02,   8.57156E-06
   1.00000E+01,   3.15006E+03,   6.00000E-01,   2.72005E+03,   3.18177E+00,   0.00000E+00,   3.43511E-15,   6.78751E-02,   7.07007E-01,   5.71944E-02,   4.64151E-02,   3.13909E-02,   2.50400E-02,   5.02637E-03,   3.05819E-02,   2.90138E-05
   4.00000E+01,   3.25804E+03,   6.00000E-01,   2.72005E+03,   2.74896E+00,   0.00000E+00,   1.38209E-14,   6.58506E-02,   7.11607E-01,   6.16153E-02,   5.28785E-02,   2.56035E-02,   2.23133E-02,   3.78111E-03,   3.38946E-02,   5.93096E-05
   1.00000E+00,   3.02803E+03,   8.00000E-01,   2.80413E+03,   4.84209E+00,   0.00000E+00,   1.66009E-15,   4.69140E-02,   6.74032E-01,   5.86549E-02,   3.65034E-02,   6.17610E-02,   3.21676E-02,   1.33054E-02,   2.15878E-02,   5.83720E-06
   1.00000E+01,   3.25989E+03,   8.00000E-01,   2.80413E+03,   3.72605E+00,   0.00000E+00,   3.51525E-14,   4.31795E-02,   6.84191E-01,   6.88978E-02,   4.54479E-02,   5.46612E-02,   3.01278E-02,   1.04979E-02,   2.69639E-02,   1.90825E-05
   4.00000E+01,   3.39373E+03,   8.00000E-01,   2.80413E+03,   3.22640E+00,   0.00000E+00,   1.87283E-13,   4.02724E-02,   6.90237E-01,   7.51511E-02,   5.25940E-02,   4.85904E-02,   2.75631E-02,   8.55468E-03,   2.98383E-02,   3.78386E-05
   1.00000E+00,   3.07956E+03,   1.00000E+00,   2.88608E+03,   5.35689E+00,   0.00000E+00,   7.75383E-15,   3.02294E-02,   6.50363E-01,   6.47205E-02,   3.35221E-02,   8.46816E-02,   3.36604E-02,   2.16234E-02,   1.80812E-02,   3.78973E-06
   1.00000E+01,   3.33372E+03,   1.00000E+00,   2.88608E+03,   4.09831E+00,   0.00000E+00,   2.16095E-13,   2.60879E-02,   6.61815E-01,   7.71585E-02,   4.11509E-02,   7.94757E-02,   3.20142E-02,   1.85838E-02,   2.21966E-02,   1.17052E-05
   4.00000E+01,   3.48386E+03,   1.00000E+00,   2.88608E+03,   3.53398E+00,   0.00000E+00,   1.43276E-12,   2.30180E-02,   6.68905E-01,   8.51281E-02,   4.75689E-02,   7.45017E-02,   2.95104E-02,   1.61506E-02,   2.41261E-02,   2.20712E-05
   1.00000E+00,   3.11324E+03,   1.20000E+00,   2.96598E+03,   5.67302E+00,   0.00000E+00,   2.81275E-14,   1.86735E-02,   6.27703E-01,   6.79585E-02,   2.96429E-02,   1.06891E-01,   3.27105E-02,   3.21341E-02,   1.45073E-02,   2.33746E-06
   1.00000E+01,   3.38049E+03,   1.20000E+00,   2.96598E+03,   4.28578E+00,   0.00000E+00,   9.85385E-13,   1.48141E-02,   6.39947E-01,   8.18470E-02,   3.54476E-02,   1.04010E-01,   3.09890E-02,   2.96674E-02,   1.72079E-02,   6.66477E-06
   4.00000E+01,   3.53898E+03,   1.20000E+00,   2.96598E+03,   3.65058E+00,   0.00000E+00,   7.87508E-12,   1.21251E-02,   6.47643E-01,   9.10672E-02,   4.03981E-02,   1.00808E-01,   2.83218E-02,   2.72600E-02,   1.80870E-02,   1.16857E-05
   1.00000E+00,   3.13241E+03,   1.40000E+00,   3.04391E+03,   5.77747E+00,   0.00000E+00,   8.69443E-14,   1.09561E-02,   6.06022E-01,   6.85488E-02,   2.54778E-02,   1.27911E-01,   2.98569E-02,   4.49137E-02,   1.11555E-02,   1.35984E-06
   1.00000E+01,   3.40459E+03,   1.40000E+00,   3.04391E+03,   4.28214E+00,   0.00000E+00,   3.70631E-12,   7.83272E-03,   6.18551E-01,   8.28755E-02,   2.94569E-02,   1.27254E-01,   2.76772E-02,   4.40195E-02,   1.25851E-02,   3.49882E-06
