"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   1.68003E+03,   4.00000E-01,   3.51339E+02,   1.43126E+00,   0.00000E+00,   8.02700E-29,   1.14901E-01,   7.19444E-01,   1.54404E-01,   2.94259E-04,   4.70507E-08,   3.92887E-04,   7.40250E-06,   1.89834E-03,   4.64618E-06
   1.00000E+01,   1.68082E+03,   4.00000E-01,   3.51339E+02,   1.42312E+00,   0.00000E+00,   8.25681E-29,   1.14938E-01,   7.19475E-01,   1.54503E-01,   2.94307E-04,   1.50207E-08,   2.22234E-04,   2.36202E-06,   1.90459E-03,   1.47150E-05
   4.00000E+01,   1.68110E+03,   4.00000E-01,   3.51339E+02,   1.42026E+00,   0.00000E+00,   8.34005E-29,   1.14941E-01,   7.19484E-01,   1.54540E-01,   2.94330E-04,   7.53561E-09,   1.57461E-04,   1.18477E-06,   1.90668E-03,   2.94431E-05
   1.00000E+00,   2.06828E+03,   6.00000E-01,   3.74375E+02,   1.71352E+00,   0.00000E+00,   2.19273E-23,   7.09933E-02,   6.90265E-01,   2.20793E-01,   2.80607E-04,   2.41245E-06,   3.61133E-03,   3.93284E-04,   4.99840E-03,   4.52756E-06
   1.00000E+01,   2.07730E+03,   6.00000E-01,   3.74375E+02,   1.63717E+00,   0.00000E+00,   2.71452E-23,   7.12929E-02,   6.90638E-01,   2.21959E-01,   2.82378E-04,   8.21635E-07,   2.12259E-03,   1.32931E-04,   5.12724E-03,   1.45127E-05
   4.00000E+01,   2.08038E+03,   6.00000E-01,   3.74375E+02,   1.61286E+00,   0.00000E+00,   2.91670E-23,   7.14089E-02,   6.90759E-01,   2.22373E-01,   2.82842E-04,   4.21058E-07,   1.52375E-03,   6.79859E-05,   5.17227E-03,   2.91651E-05
   1.00000E+00,   2.35779E+03,   8.00000E-01,   3.97148E+02,   2.29689E+00,   0.00000E+00,   5.07277E-20,   3.17453E-02,   6.61562E-01,   2.75273E-01,   2.48500E-04,   2.30556E-05,   1.03735E-02,   4.41921E-03,   6.28520E-03,   2.56766E-06
   1.00000E+01,   2.39752E+03,   8.00000E-01,   3.97148E+02,   1.96120E+00,   0.00000E+00,   1.13899E-19,   3.14009E-02,   6.63398E-01,   2.80956E-01,   2.62622E-04,   9.78259E-06,   6.73067E-03,   1.77422E-03,   6.76225E-03,   8.29579E-06
   4.00000E+01,   2.41125E+03,   8.00000E-01,   3.97148E+02,   1.85727E+00,   0.00000E+00,   1.48251E-19,   3.14342E-02,   6.64005E-01,   2.82998E-01,   2.67309E-04,   5.38378E-06,   5.00176E-03,   9.59665E-04,   6.94786E-03,   1.67920E-05
   1.00000E+00,   2.51995E+03,   1.00000E+00,   4.19663E+02,   3.29721E+00,   0.00000E+00,   1.28555E-17,   7.14863E-03,   6.31384E-01,   3.07532E-01,   1.74456E-04,   8.42891E-05,   1.27840E-02,   2.37739E-02,   3.93221E-03,   6.37362E-07
