"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   4.00000E+01,   3.36886E+03,   1.20000E+00,   2.37027E+03,   3.34635E+00,   0.00000E+00,   5.25597E-12,   9.35178E-03,   6.60684E-01,   1.04191E-01,   5.15212E-02,   9.20195E-02,   2.16109E-02,   2.30418E-02,   1.37384E-02,   8.50890E-06
   1.00000E+00,   3.02078E+03,   1.40000E+00,   2.43432E+03,   5.12960E+00,   0.00000E+00,   7.95314E-14,   8.78622E-03,   6.20388E-01,   8.37182E-02,   3.25842E-02,   1.24121E-01,   2.48996E-02,   4.28409E-02,   8.88559E-03,   1.04500E-06
   1.00000E+01,   3.25337E+03,   1.40000E+00,   2.43432E+03,   3.76968E+00,   0.00000E+00,   3.29143E-12,   5.54856E-03,   6.31733E-01,   9.76306E-02,   3.72138E-02,   1.22379E-01,   2.12213E-02,   4.07330E-02,   9.22582E-03,   2.34948E-06
   4.00000E+01,   3.38298E+03,   1.40000E+00,   2.43432E+03,   3.13890E+00,   0.00000E+00,   3.13570E-11,   3.69380E-03,   6.38465E-01,   1.06247E-01,   4.07176E-02,   1.20483E-01,   1.77157E-02,   3.88178E-02,   8.60308E-03,   3.32320E-06
   1.00000E+00,   3.02101E+03,   1.60000E+00,   2.49681E+03,   4.86708E+00,   0.00000E+00,   2.63523E-13,   4.24558E-03,   5.98900E-01,   8.13945E-02,   2.66011E-02,   1.45893E-01,   2.04798E-02,   5.99658E-02,   6.07044E-03,   4.96188E-07
   1.00000E+01,   3.24441E+03,   1.60000E+00,   2.49681E+03,   3.45985E+00,   0.00000E+00,   1.35839E-11,   2.23560E-03,   6.09704E-01,   9.43496E-02,   2.90666E-02,   1.46469E-01,   1.63526E-02,   6.04385E-02,   5.70012E-03,   9.26314E-07
   4.00000E+01,   3.36227E+03,   1.60000E+00,   2.49681E+03,   2.82703E+00,   0.00000E+00,   1.53707E-10,   1.27170E-03,   6.15744E-01,   1.02044E-01,   3.07945E-02,   1.46347E-01,   1.28436E-02,   6.01270E-02,   4.85996E-03,   1.11398E-06
   1.00000E+00,   3.00578E+03,   1.80000E+00,   2.55779E+03,   4.46754E+00,   0.00000E+00,   8.11117E-13,   1.84071E-03,   5.78101E-01,   7.56681E-02,   2.10463E-02,   1.65917E-01,   1.55153E-02,   8.04670E-02,   3.85571E-03,   2.09737E-07
   1.00000E+01,   3.21328E+03,   1.80000E+00,   2.55779E+03,   3.12462E+00,   0.00000E+00,   4.94736E-11,   8.04588E-04,   5.87916E-01,   8.63988E-02,   2.20476E-02,   1.67980E-01,   1.14464E-02,   8.42722E-02,   3.25036E-03,   3.22848E-07
   4.00000E+01,   3.31620E+03,   1.80000E+00,   2.55779E+03,   2.55769E+00,   0.00000E+00,   6.29082E-10,   3.97064E-04,   5.93024E-01,   9.23401E-02,   2.27143E-02,   1.68840E-01,   8.43850E-03,   8.59101E-02,   2.54784E-03,   3.34790E-07
