"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   2.68816E+03,   4.00000E-01,   2.22991E+03,   2.89617E+00,   0.00000E+00,   1.90810E-19,   9.61609E-02,   6.97655E-01,   1.31026E-01,   2.22499E-04,   6.65867E-05,   2.57806E-02,   5.85885E-03,   1.99072E-02,   1.00703E-05
   1.00000E+01,   2.78833E+03,   4.00000E-01,   2.22991E+03,   2.23541E+00,   0.00000E+00,   9.05209E-19,   9.75288E-02,   7.01686E-01,   1.39745E-01,   2.54304E-04,   3.71230E-05,   1.94302E-02,   2.94131E-03,   2.32773E-02,   3.44024E-05
   4.00000E+01,   2.82929E+03,   4.00000E-01,   2.22991E+03,   2.00461E+00,   0.00000E+00,   1.66826E-18,   9.83668E-02,   7.03244E-01,   1.43781E-01,   2.69170E-04,   2.32094E-05,   1.54326E-02,   1.76336E-03,   2.47726E-02,   7.11260E-05
   1.00000E+00,   2.84481E+03,   6.00000E-01,   2.36767E+03,   4.24295E+00,   0.00000E+00,   4.82341E-18,   5.75069E-02,   6.59083E-01,   1.71082E-01,   1.55168E-04,   1.17919E-04,   3.84169E-02,   1.83996E-02,   1.87281E-02,   6.42073E-06
   1.00000E+01,   3.01322E+03,   6.00000E-01,   2.36767E+03,   3.06246E+00,   0.00000E+00,   5.25656E-17,   5.58845E-02,   6.66373E-01,   1.87301E-01,   1.89067E-04,   8.78788E-05,   3.27342E-02,   1.17195E-02,   2.30153E-02,   2.17008E-05
   4.00000E+01,   3.09459E+03,   6.00000E-01,   2.36767E+03,   2.58861E+00,   0.00000E+00,   1.57476E-16,   5.54118E-02,   6.69815E-01,   1.96177E-01,   2.12734E-04,   6.60867E-05,   2.79475E-02,   8.02923E-03,   2.52752E-02,   4.49127E-05
   1.00000E+00,   2.93323E+03,   8.00000E-01,   2.50386E+03,   5.68692E+00,   0.00000E+00,   3.86877E-17,   3.27634E-02,   6.22618E-01,   1.97226E-01,   1.06133E-04,   1.51382E-04,   4.39298E-02,   3.87418E-02,   1.54290E-02,   3.73112E-06
   1.00000E+01,   3.15215E+03,   8.00000E-01,   2.50386E+03,   4.09795E+00,   0.00000E+00,   8.03354E-16,   2.85244E-02,   6.32607E-01,   2.19104E-01,   1.27918E-04,   1.34371E-04,   3.96195E-02,   2.98926E-02,   1.87961E-02,   1.15448E-05
   4.00000E+01,   3.27221E+03,   8.00000E-01,   2.50386E+03,   3.39440E+00,   0.00000E+00,   3.97560E-15,   2.61550E-02,   6.38224E-01,   2.32908E-01,   1.46997E-04,   1.17945E-04,   3.53280E-02,   2.36112E-02,   2.05251E-02,   2.24482E-05
   1.00000E+00,   2.97861E+03,   1.00000E+00,   2.63851E+03,   6.83484E+00,   0.00000E+00,   1.69438E-16,   1.83137E-02,   5.88520E-01,   2.12782E-01,   7.44401E-05,   1.68419E-04,   4.35928E-02,   6.54347E-02,   1.18705E-02,   2.07638E-06
