"p           ","t           ","phi         ","h           ","cp          ","M           ","CH4         ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   2.42205E+03,   4.00000E-01,   1.57229E+03,   1.95768E+00,   0.00000E+00,   7.95974E-20,   1.13092E-01,   7.47971E-01,   4.94580E-02,   5.07077E-02,   3.62071E-03,   7.50515E-03,   5.91432E-04,   1.42740E-02,   1.02213E-05
   1.00000E+01,   2.46363E+03,   4.00000E-01,   1.57229E+03,   1.67060E+00,   0.00000E+00,   1.78243E-19,   1.13193E-01,   7.49757E-01,   5.14295E-02,   5.29928E-02,   1.50676E-03,   4.92369E-03,   2.40058E-04,   1.54345E-02,   3.34047E-05
   4.00000E+01,   2.47785E+03,   4.00000E-01,   1.57229E+03,   1.57907E+00,   0.00000E+00,   2.34294E-19,   1.13277E-01,   7.50346E-01,   5.22515E-02,   5.37334E-02,   8.24874E-04,   3.67111E-03,   1.30810E-04,   1.58464E-02,   6.75792E-05
   1.00000E+00,   2.64135E+03,   6.00000E-01,   1.62863E+03,   2.88621E+00,   0.00000E+00,   1.24929E-17,   7.35402E-02,   7.26669E-01,   6.72350E-02,   6.20758E-02,   1.70891E-02,   1.52117E-02,   2.81555E-03,   1.65282E-02,   7.63077E-06
   1.00000E+01,   2.74801E+03,   6.00000E-01,   1.62863E+03,   2.25180E+00,   0.00000E+00,   7.31891E-17,   7.11189E-02,   7.31495E-01,   7.17738E-02,   6.97953E-02,   1.00324E-02,   1.16292E-02,   1.50839E-03,   1.91582E-02,   2.50124E-05
   4.00000E+01,   2.79571E+03,   6.00000E-01,   1.62863E+03,   1.98724E+00,   0.00000E+00,   1.56750E-16,   6.99449E-02,   7.33635E-01,   7.39772E-02,   7.35823E-02,   6.54284E-03,   9.36831E-03,   9.46071E-04,   2.03666E-02,   5.06724E-05
   1.00000E+00,   2.76827E+03,   8.00000E-01,   1.68353E+03,   3.77827E+00,   0.00000E+00,   2.72279E-16,   4.50502E-02,   7.03581E-01,   8.09858E-02,   6.28638E-02,   3.91955E-02,   2.06276E-02,   7.33061E-03,   1.53970E-02,   4.97323E-06
   1.00000E+01,   2.92602E+03,   8.00000E-01,   1.68353E+03,   2.96301E+00,   0.00000E+00,   3.29353E-15,   4.02568E-02,   7.11115E-01,   8.82717E-02,   7.40321E-02,   2.93038E-02,   1.71212E-02,   4.82221E-03,   1.81103E-02,   1.54342E-05
   4.00000E+01,   3.01014E+03,   8.00000E-01,   1.68353E+03,   2.58572E+00,   0.00000E+00,   1.18821E-14,   3.72601E-02,   7.15223E-01,   9.21583E-02,   8.11718E-02,   2.28472E-02,   1.45761E-02,   3.49485E-03,   1.93974E-02,   2.99326E-05
   1.00000E+00,   2.84309E+03,   1.00000E+00,   1.73703E+03,   4.35900E+00,   0.00000E+00,   2.50752E-15,   2.56295E-02,   6.80191E-01,   9.10576E-02,   5.77657E-02,   6.52985E-02,   2.28064E-02,   1.45751E-02,   1.26718E-02,   2.90423E-06
