"p           ","t           ","phi         ","h           ","cp          ","M           ","C2H4        ","O2          ","N2          ","H2O         ","CO2         ","CO          ","OH          ","H2          ","NO          ","NO2         "
   1.00000E+00,   1.62376E+03,   4.00000E-01,   3.62008E+02,   1.31735E+00,   0.00000E+00,   0.00000E+00,   1.21422E-01,   7.58790E-01,   5.42593E-02,   5.46462E-02,   4.24729E-06,   1.58473E-04,   1.35883E-06,   1.59711E-03,   4.62366E-06
   1.00000E+00,   2.02834E+03,   6.00000E-01,   3.89659E+02,   1.50736E+00,   0.00000E+00,   2.31254E-34,   7.76170E-02,   7.46334E-01,   7.93178E-02,   8.01767E-02,   4.79697E-04,   1.84144E-03,   1.01320E-04,   4.89406E-03,   4.93984E-06
   1.00000E+00,   2.33165E+03,   8.00000E-01,   4.16601E+02,   2.11627E+00,   0.00000E+00,   1.36808E-28,   3.81845E-02,   7.31229E-01,   1.00637E-01,   9.83123E-02,   7.10241E-03,   5.99302E-03,   1.27568E-03,   6.87826E-03,   3.17983E-06
   1.00000E+00,   2.48292E+03,   9.90000E-01,   4.41562E+02,   2.93071E+00,   0.00000E+00,   2.64542E-25,   1.36711E-02,   7.12309E-01,   1.16187E-01,   9.85788E-02,   2.83127E-02,   8.24439E-03,   5.42923E-03,   5.41249E-03,   1.26107E-06
